iter	RMSE
0	412.5410827
1	411.9359634
2	411.3747662
3	410.814265
4	410.2377563
5	409.7335285
6	409.1984183
7	408.7034194
8	408.1927872
9	407.7211608
10	407.2229069
11	406.7553824
12	406.3011954
13	405.8433089
14	405.3745737
15	404.9006059
16	404.4801505
17	404.0365172
18	403.6061555
19	403.2273858
20	402.8073218
21	402.4006487
22	402.0082907
23	401.6079305
24	401.2249816
25	400.8569038
26	400.4910254
27	400.1050441
28	399.7420896
29	399.3854612
30	399.0308754
31	398.683329
32	398.3853707
33	398.0652849
34	397.7392494
35	397.4164667
36	397.158059
37	396.8574152
38	396.5511511
39	396.2413786
40	395.9701339
41	395.684038
42	395.4184849
43	395.1505728
44	394.8847845
45	394.6279562
46	394.3630082
47	394.1763443
48	393.9299694
49	393.6877779
50	393.4585155
51	393.2171695
52	393.0130984
53	392.7781765
54	392.5678684
55	392.3536702
56	392.1377295
57	391.9234878
58	391.7274791
59	391.5173969
60	391.3337415
61	391.1524156
62	390.9734046
63	390.7830613
64	390.6040943
65	390.4463437
66	390.2777728
67	390.0869912
68	389.9344107
69	389.7637231
70	389.6033157
71	389.4561853
72	389.2896496
73	389.1256705
74	388.9724807
75	388.8416386
76	388.6806157
77	388.529321
78	388.3805939
79	388.229195
80	388.0926791
81	387.9732325
82	387.8278611
83	387.7077949
84	387.6012598
85	387.4652946
86	387.3514196
87	387.2271184
88	387.1086547
89	386.9980852
90	386.8974744
91	386.8019677
92	386.6850191
93	386.5821257
94	386.481653
95	386.3740301
96	386.2714668
97	386.1599664
98	386.0648325
99	385.9846181
100	385.890093
101	385.7968089
102	385.7226598
103	385.6309455
104	385.5382036
105	385.4658397
106	385.3952735
107	385.3094224
108	385.2349465
109	385.163719
110	385.075827
111	385.0023335
112	384.9181897
113	384.8486769
114	384.7848376
115	384.7199194
116	384.6529491
117	384.6011201
118	384.5338322
119	384.4734126
120	384.4192555
121	384.3569283
122	384.2980052
123	384.2341981
124	384.1736233
125	384.1271851
126	384.0597145
127	383.9924532
128	383.9435483
129	383.8869857
130	383.8358617
131	383.7865337
132	383.7448664
133	383.6905944
134	383.6410885
135	383.6046827
136	383.5554777
137	383.5016947
138	383.4609617
139	383.4117969
140	383.3708711
141	383.3322757
142	383.2990138
143	383.2584241
144	383.2101292
145	383.1672594
146	383.1185351
147	383.0908053
148	383.0529144
149	383.0192443
150	382.9885276
151	382.9500733
152	382.9192204
153	382.8789468
154	382.8432422
155	382.8078922
156	382.769684
157	382.7420445
158	382.7172854
159	382.6888969
160	382.6498298
161	382.6206728
162	382.5885863
163	382.5712352
164	382.5374617
165	382.5082236
166	382.4822924
167	382.457497
168	382.4292622
169	382.4016847
170	382.3742634
171	382.3564937
172	382.330365
173	382.3041219
174	382.2733048
175	382.2557246
176	382.2355989
177	382.2159822
178	382.1890269
179	382.166147
180	382.1451638
181	382.1293243
182	382.1115057
183	382.0888682
184	382.0642278
185	382.0435541
186	382.0277221
187	382.0033539
188	381.9828496
189	381.9653852
190	381.9464335
191	381.921035
192	381.9027356
193	381.8894915
194	381.8778989
195	381.854998
196	381.8392115
197	381.8237596
198	381.8078192
199	381.7956242
200	381.771533
201	381.7576372
202	381.7413583
203	381.7272575
204	381.7057404
205	381.6896052
206	381.6747635
207	381.6689474
208	381.6586107
209	381.6401704
210	381.6223674
211	381.6066089
212	381.5991293
213	381.5859942
214	381.5783695
215	381.5650563
216	381.5500005
217	381.5377364
218	381.5250331
219	381.5155196
220	381.504166
221	381.4930039
222	381.4793314
223	381.4703321
224	381.4570065
225	381.44644
226	381.4364233
227	381.4288448
228	381.4262803
229	381.4205459
230	381.4154162
231	381.40438
232	381.3923942
233	381.387827
234	381.3772284
235	381.372906
236	381.3707003
237	381.3671043
238	381.3593943
239	381.3477655
240	381.3436736
241	381.3338669
242	381.3248867
243	381.3152085
244	381.3121309
245	381.3032946
246	381.2970071
247	381.2948845
248	381.287464
249	381.2854216
250	381.2824794
251	381.2688413
252	381.260805
253	381.2486599
254	381.2457148
255	381.2413628
256	381.2371295
257	381.2312205
258	381.2263882
259	381.2200043
260	381.2149977
261	381.2073833
262	381.1990047
263	381.1930044
264	381.1845443
265	381.1831545
266	381.1802014
267	381.1736914
268	381.1656291
269	381.1570608
270	381.1538966
271	381.1497357
272	381.1458716
273	381.1370282
274	381.1360004
275	381.1317955
276	381.1259696
277	381.1184426
278	381.1149601
279	381.114494
280	381.1099917
281	381.1073883
282	381.1049329
283	381.1014915
284	381.0988794
285	381.0925636
286	381.0907196
287	381.0842612
288	381.082388
289	381.0783821
290	381.0751146
291	381.0681208
292	381.0669047
293	381.0646458
294	381.0622752
295	381.0610982
296	381.0578941
297	381.0567674
298	381.0522385
299	381.0494003
