iter	Logloss
0	0.6410804749
1	0.5887575422
2	0.5411053794
3	0.5041443961
4	0.4650413513
5	0.4459198271
6	0.4200906481
7	0.4088902065
8	0.395233563
9	0.383871569
10	0.3706205913
11	0.3600142343
12	0.3496890477
13	0.3427066803
14	0.3328314645
15	0.3265093667
16	0.3214497702
17	0.3160261427
18	0.3118864332
19	0.307235527
20	0.3019830159
21	0.2977357592
22	0.2944536482
23	0.2917424066
24	0.2884513855
25	0.2860000065
26	0.2833857945
27	0.2812001365
28	0.2787540436
29	0.2763557162
30	0.2732028416
31	0.271131134
32	0.2690413339
33	0.2672097887
34	0.2643432617
35	0.2619912829
36	0.2602830342
37	0.2583979743
38	0.2562392099
39	0.2541404724
40	0.2517987388
41	0.2497638702
42	0.2480885642
43	0.2462922232
44	0.2442080362
45	0.2424877712
46	0.2409014021
47	0.2390054703
48	0.2375059673
49	0.2361324855
50	0.2348421914
51	0.2335098267
52	0.2322484698
53	0.2310323988
54	0.2299149105
55	0.2288578851
56	0.2277681896
57	0.2264583996
58	0.2249866486
59	0.2239840644
60	0.2227436202
61	0.2218451772
62	0.2208875929
63	0.2197080748
64	0.2185406685
65	0.2175251688
66	0.2167329243
67	0.2156093052
68	0.2147353581
69	0.2140017918
70	0.2126399449
71	0.2116986275
72	0.210944421
73	0.2100593567
74	0.2093974386
75	0.2085633823
76	0.2075655528
77	0.2065772465
78	0.2059737206
79	0.2052131108
80	0.204053293
81	0.2033005306
82	0.2023296629
83	0.2014409474
84	0.2006057467
85	0.1998609952
86	0.1988194057
87	0.1981282779
88	0.1974384853
89	0.1964327403
90	0.1957896914
91	0.1948593276
92	0.1941190992
93	0.1930341312
94	0.1921530724
95	0.1912427766
96	0.1904063634
97	0.1894007274
98	0.1885833332
99	0.1879877908
