iter	Passed	Remaining
0	144	14301
1	148	7260
2	151	4882
3	154	3711
4	155	2953
5	158	2476
6	159	2116
7	161	1861
8	164	1662
9	167	1504
10	170	1378
11	172	1268
12	174	1170
13	177	1089
14	178	1013
15	181	952
16	183	897
17	186	850
18	189	807
19	191	767
20	194	731
21	197	698
22	199	668
23	202	640
24	204	614
25	207	589
26	210	567
27	212	546
28	215	526
29	217	508
30	220	490
31	222	473
32	225	457
33	227	442
34	230	427
35	233	414
36	235	401
37	238	388
38	240	376
39	243	365
40	246	354
41	249	344
42	251	333
43	254	324
44	257	314
45	259	305
46	262	295
47	265	287
48	267	278
49	270	270
50	273	262
51	275	254
52	278	247
53	281	239
54	283	232
55	286	224
56	289	218
57	291	211
58	294	204
59	296	197
60	299	191
61	301	184
62	304	178
63	306	172
64	309	166
65	312	160
66	314	155
67	317	149
68	320	143
69	322	138
70	325	132
71	328	127
72	330	122
73	333	117
74	335	111
75	338	106
76	340	101
77	343	96
78	346	92
79	348	87
80	351	82
81	354	77
82	357	73
83	359	68
84	362	64
85	365	59
86	367	54
87	370	50
88	373	46
89	376	41
90	378	37
91	381	33
92	383	28
93	386	24
94	389	20
95	392	16
96	394	12
97	397	8
98	399	4
99	402	0
